동별,성별,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022
동별,성별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
동별,성별,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세,20~24세,25~29세,30~34세,35~39세
관악구,남자,18935,29218,28784,23234,18702,30665,27223,23226,18311,32291,26339,23052,17846,33972,26299,22311,17388,35201,26688,21126,16965,35603,27413,19827,16568,36228,28663,18854
관악구,여자,20212,26944,23981,19728,20612,27922,22633,19750,21271,29684,21810,19606,21887,31624,21554,18846,21887,33210,21572,17567,21393,34181,21791,16366,20972,35017,22774,15459
서초구,계,28115,30702,36400,38449,27357,30913,33958,38256,26459,30820,31700,37627,25707,30572,30605,36329,25155,30068,29876,34207,24218,28876,28860,31741,22942,27733,28275,29255
서초구,남자,13967,14302,16764,17698,13601,14527,15558,17559,13188,14568,14499,17251,12716,14507,14047,16637,12332,14242,13796,15663,11833,13655,13376,14500,11152,13188,13202,13239
서초구,여자,14148,16400,19637,20752,13756,16386,18400,20697,13271,16252,17202,20376,12992,16065,16558,19693,12824,15826,16081,18544,12385,15221,15484,17241,11790,14545,15073,16016
강남구,계,39022,42384,49005,47768,37606,41778,44780,47372,35796,41098,41325,46521,34269,40925,39748,45153,33299,40651,39138,42965,32124,39405,38220,40130,30565,38208,38020,37504
강남구,남자,19630,19495,22438,22049,18874,19379,20551,21704,17773,19273,18932,21148,16827,19314,18244,20472,16262,19181,18133,19461,15593,18543,17871,18122,14778,17915,17996,16931
강남구,여자,19392,22889,26567,25719,18732,22399,24230,25668,18024,21825,22394,25373,17442,21611,21504,24681,17037,21470,21005,23504,16532,20862,20349,22009,15787,20293,20025,20573
송파구,계,44411,48165,56837,55774,43545,49194,55049,57590,42757,50973,53941,59264,41905,52836,53883,59466,40726,53698,53718,57775,39032,52703,52858,54844,36992,51535,53184,52189
송파구,남자,22634,23166,27281,26804,22016,23617,26335,27701,21413,24368,25807,28539,20751,25088,25804,28612,19886,25320,25716,27815,18911,24731,25254,26301,17912,24109,25392,24899
송파구,여자,21777,24999,29557,28970,21529,25577,28714,29889,21344,26606,28134,30726,21154,27748,28080,30854,20840,28378,28002,29961,20121,27972,27605,28543,19080,27427,27792,27291
강동구,계,30906,31728,36083,36210,29092,31385,33288,36387,27446,31190,31271,36370,26479,31742,30683,36012,26340,33537,32304,36880,26063,34606,33980,37022,24887,34132,34555,35242
강동구,남자,16294,16098,18242,18287,15259,15932,16782,18371,14243,15742,15715,18306,13570,15859,15431,18038,13342,16491,16187,18423,13042,16760,16863,18411,12361,16398,17063,17448
강동구,여자,14613,15630,17841,17924,13833,15453,16506,18016,13203,15449,15557,18065,12910,15883,15252,17974,12998,17046,16117,18458,13022,17847,17117,18611,12527,17734,17492,17794
