행정구역(시군구)별,성별,연령별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
서울특별시,계,62세,주민등록연앙인구[명],명,112816,127887,132298.5,132534.5,136793,139436.5,146450.5
서울특별시,계,63세,주민등록연앙인구[명],명,110378,110282,125234.5,129904,130418,134299.5,136908
서울특별시,계,64세,주민등록연앙인구[명],명,97495,107842.5,107911,122957.5,127792.5,127967.5,131824
서울특별시,계,65세,주민등록연앙인구[명],명,85267.5,95548.5,105837.5,106155.5,121059.5,125422.5,125744.5
서울특별시,계,66세,주민등록연앙인구[명],명,90305,83440.5,93536,103868,104433.5,118910,123261
서울특별시,계,67세,주민등록연앙인구[명],명,90177.5,88209,81572.5,91735.5,102067.5,102468.5,116746
서울특별시,계,68세,주민등록연앙인구[명],명,90619.5,87956.5,86190.5,79888,90036.5,100110,100568.5
서울특별시,계,69세,주민등록연앙인구[명],명,82658,88402,85929,84439,78453,88263,98152.5
서울특별시,계,70세,주민등록연앙인구[명],명,69554,80619.5,86280,84121,82815,76783.5,86533.5
서울특별시,계,71세,주민등록연앙인구[명],명,65547,67701.5,78616.5,84327,82415,81064,75153
서울특별시,계,72세,주민등록연앙인구[명],명,65342,63786,65967.5,76878,82596,80540.5,79220
서울특별시,계,73세,주민등록연앙인구[명],명,70963,63521,62091,64392.5,75171,80703,78742.5
서울특별시,계,74세,주민등록연앙인구[명],명,69143,68808,61740,60483,62836.5,73275.5,78705.5
서울특별시,계,75세,주민등록연앙인구[명],명,56936,66912.5,66662,60089.5,58977.5,61164.5,71472
서울특별시,계,76세,주민등록연앙인구[명],명,51938,55015,64732,64625,58373,57303,59535.5
서울특별시,계,77세,주민등록연앙인구[명],명,48105,50044.5,52967.5,62536.5,62640,56504.5,55525
서울특별시,계,78세,주민등록연앙인구[명],명,42426.5,46220.5,48142.5,51149,60495,60419,54553.5
서울특별시,계,79세,주민등록연앙인구[명],명,38149,40697,44284,46216.5,49231,58158.5,58110.5
서울특별시,계,80세 이상,주민등록연앙인구[명],명,220235,236871.5,254627,275205.5,297315.5,319793.5,346971.5
서울특별시,계,80세,주민등록연앙인구[명],명,34822.5,36368,38897,42394.5,44310.5,47144.5,55621
서울특별시,계,81세,주민등록연앙인구[명],명,30711.5,33015,34583.5,37094,40473.5,42196.5,44891.5
서울특별시,계,82세,주민등록연앙인구[명],명,25651.5,28988,31145,32673.5,35167.5,38326.5,39949
서울특별시,계,83세,주민등록연앙인구[명],명,22128.5,24012.5,27148.5,29284.5,30836,33131.5,36032
서울특별시,계,84세,주민등록연앙인구[명],명,18820.5,20544,22292.5,25311.5,27418,28802,30876.5
서울특별시,계,85세 이상,주민등록연앙인구[명],명,88100.5,93944,100560.5,108447.5,119110,130192.5,139601.5
서울특별시,계,85세,주민등록연앙인구[명],명,16028,17371.5,18967.5,20619.5,23516,25444.5,26677.5
서울특별시,계,86세,주민등록연앙인구[명],명,14367,14592,15863,17430,19029.5,21588.5,23237.5
서울특별시,계,87세,주민등록연앙인구[명],명,12477.5,12947.5,13176,14382,15902,17356,19509
서울특별시,계,88세,주민등록연앙인구[명],명,10419.5,11221,11546,11749,12985.5,14352.5,15529
서울특별시,계,89세,주민등록연앙인구[명],명,8112.5,9197,9886,10200.5,10438.5,11516,12610.5
서울특별시,계,90세,주민등록연앙인구[명],명,6163.5,7037,7966.5,8598,8979,9161.5,9938.5
서울특별시,계,91세,주민등록연앙인구[명],명,4857,5217.5,5977,6861.5,7477.5,7811,7782.5
서울특별시,계,92세,주민등록연앙인구[명],명,4209,4071,4375,5051,5874.5,6369.5,6513
서울특별시,계,93세,주민등록연앙인구[명],명,3502,3433.5,3311,3599,4239.5,4915,5252
서울특별시,계,94세,주민등록연앙인구[명],명,2512,2833.5,2795,2670.5,2939,3511.5,3963.5
서울특별시,계,95세,주민등록연앙인구[명],명,1772,1973.5,2246.5,2226,2131.5,2329.5,2720.5
서울특별시,계,96세,주민등록연앙인구[명],명,1233,1369,1517,1774,1780.5,1664.5,1751.5
서울특별시,계,97세,주민등록연앙인구[명],명,779.5,919.5,1033,1172,1391,1381,1228.5
서울특별시,계,98세,주민등록연앙인구[명],명,552,587,686.5,774,877.5,1028,999
서울특별시,계,99세,주민등록연앙인구[명],명,377,398,412.5,490,588,671.5,724
서울특별시,계,100세 이상,주민등록연앙인구[명],명,739,775.5,802,850.5,960.5,1092,1165
서울특별시,남자,계,주민등록연앙인구[명],명,4818222.5,4767275.5,4717644,4675763.5,4642652.5,4593754,4548059
서울특별시,남자,0세,주민등록연앙인구[명],명,38060.5,33844.5,29900,27485,24862,22768.5,21611
서울특별시,남자,1세,주민등록연앙인구[명],명,39788,37816,33636.5,29780,27365.5,24677.5,22839.5
서울특별시,남자,2세,주민등록연앙인구[명],명,38639,38174.5,36261,32379.5,28930.5,26502.5,24066
서울특별시,남자,3세,주민등록연앙인구[명],명,40091.5,37270.5,36734,35036,31412.5,27972.5,25889.5
서울특별시,남자,4세,주민등록연앙인구[명],명,40837,39024.5,36300.5,35840.5,34341,30671.5,27354
서울특별시,남자,5세,주민등록연앙인구[명],명,39858,39866,38102,35562.5,35298,33693.5,30127
서울특별시,남자,6세,주민등록연앙인구[명],명,38635,38988.5,38937,37378.5,35069.5,34622.5,33168
서울특별시,남자,7세,주민등록연앙인구[명],명,38613,37967.5,38323,38379.5,37015,34590,34139
서울특별시,남자,8세,주민등록연앙인구[명],명,40807,38048,37437,37838.5,38019,36545.5,34177.5
서울특별시,남자,9세,주민등록연앙인구[명],명,40257,40345.5,37585,37025.5,37572,37619.5,36216
서울특별시,남자,10세,주민등록연앙인구[명],명,38162,39929,39935.5,37253.5,36805,37237.5,37386
서울특별시,남자,11세,주민등록연앙인구[명],명,39535.5,37818.5,39580,39645,37088,36511,36989.5
서울특별시,남자,12세,주민등록연앙인구[명],명,42464,39395,37741,39597,39744.5,37083.5,36607.5
서울특별시,남자,13세,주민등록연앙인구[명],명,43208,42041.5,39047,37447.5,39330,39390.5,36793.5
서울특별시,남자,14세,주민등록연앙인구[명],명,45915.5,42893,41784.5,38871.5,37313,39121,39212
서울특별시,남자,15세,주민등록연앙인구[명],명,52744.5,45759.5,42781.5,41721.5,38868,37203.5,39009.5
서울특별시,남자,16세,주민등록연앙인구[명],명,55583,52202,45311,42394.5,41393.5,38441.5,36818
서울특별시,남자,17세,주민등록연앙인구[명],명,55974.5,55245.5,51838.5,45020,42148.5,41043.5,38184.5
서울특별시,남자,18세,주민등록연앙인구[명],명,58701.5,55615,54906.5,51504.5,44718.5,41768,40763.5
서울특별시,남자,19세,주민등록연앙인구[명],명,61695,58891,55955.5,55497,52192,45190.5,42696
서울특별시,남자,20세,주민등록연앙인구[명],명,64386,61217.5,58541,55725,55225.5,51775.5,45178.5
서울특별시,남자,21세,주민등록연앙인구[명],명,67028.5,63800,60644.5,58016,55287.5,54749,51817.5
서울특별시,남자,22세,주민등록연앙인구[명],명,69855.5,68091,64900,62151.5,59757.5,56943.5,57134
서울특별시,남자,23세,주민등록연앙인구[명],명,72892.5,71691.5,70009.5,66964,64379,61904,59556
서울특별시,남자,24세,주민등록연앙인구[명],명,74925,74769,73658,72099,69126,66387.5,64337.5
서울특별시,남자,25세,주민등록연앙인구[명],명,74140,77648.5,77732.5,76775,75383.5,72370.5,69955.5
서울특별시,남자,26세,주민등록연앙인구[명],명,72548,76389,80342.5,80913,80046.5,78464.5,75823
서울특별시,남자,27세,주민등록연앙인구[명],명,73541,74018,78226.5,82601.5,83117.5,81971.5,80773
서울특별시,남자,28세,주민등록연앙인구[명],명,73406,73958.5,74857,79383.5,83717.5,83808,83022
서울특별시,남자,29세,주민등록연앙인구[명],명,73626,73028.5,73989.5,75192.5,79815.5,83659.5,83781.5
서울특별시,남자,30세,주민등록연앙인구[명],명,76165.5,72853,72671.5,73839.5,74981,79017.5,82860
서울특별시,남자,31세,주민등록연앙인구[명],명,76905,74776,71915.5,71977,73411,74054,77887.5
서울특별시,남자,32세,주민등록연앙인구[명],명,81198.5,75144.5,73227.5,70681,71072,72028,72686
서울특별시,남자,33세,주민등록연앙인구[명],명,87570.5,78968.5,73305,71605,69526.5,69480.5,70270.5
서울특별시,남자,34세,주민등록연앙인구[명],명,90188,84958.5,76787,71457,70054,67625.5,67615.5
서울특별시,남자,35세,주민등록연앙인구[명],명,89202,87319.5,82378,74539.5,69785,68094,65655.5
서울특별시,남자,36세,주민등록연앙인구[명],명,86116,86423,84629,79886.5,72564,67708,66105.5
서울특별시,남자,37세,주민등록연앙인구[명],명,78358.5,83471,83687,81927.5,77651.5,70432,65759
서울특별시,남자,38세,주민등록연앙인구[명],명,74009,76052.5,80840,81228,79943.5,75424,68434
서울특별시,남자,39세,주민등록연앙인구[명],명,75334,72041,73954,78685.5,79408.5,77890,73523
서울특별시,남자,40세,주민등록연앙인구[명],명,75182,73431,70084,72022.5,76969,77471.5,75977.5
서울특별시,남자,41세,주민등록연앙인구[명],명,78711,73331.5,71639,68495,70569.5,75179,75733
서울특별시,남자,42세,주민등록연앙인구[명],명,82737,77106.5,71803.5,70173.5,67406.5,69169.5,73668.5
서울특별시,남자,43세,주민등록연앙인구[명],명,84687.5,81202,75603,70526,69115.5,66146.5,67959.5
서울특별시,남자,44세,주민등록연앙인구[명],명,88418.5,83159,79731,74399.5,69553.5,67949,65074
