서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),114.922,202001,9,"60,000",1,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),84.873,202001,13,"60,000",22,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),114.922,202001,15,"69,800",10,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),59.964,202001,15,"51,000",4,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),84.873,202001,18,"62,500",21,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,1356,1356,0,경남아너스빌(1356-0),59.964,202001,21,"52,000",12,2003,오패산로30길 30,, ,-,-
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,59.99,202001,3,"72,000",12,2017,오현로 56,, ,-,-
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,59.97,202001,21,"64,500",2,2017,오현로 56,, ,-,-
서울특별시 강북구 미아동,4,4,0,꿈의숲롯데캐슬,84.98,202001,28,"85,200",6,2017,오현로 56,, ,-,-
서울특별시 강북구 미아동,1369,1369,0,꿈의숲해링턴플레이스,84.67,202001,14,"52,980",6,2019,오현로 45,, ,-,-
서울특별시 강북구 미아동,1369,1369,0,꿈의숲해링턴플레이스,59.36,202001,28,"72,000",7,2019,오현로 45,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.54,202001,3,"54,700",1,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.99,202001,4,"56,300",13,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,202001,7,"67,300",20,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,9,"66,800",14,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,202001,11,"63,500",6,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.68,202001,13,"57,500",5,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.99,202001,14,"59,500",18,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,16,"69,200",5,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,18,"67,300",2,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.99,202001,18,"59,600",19,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.82,202001,18,"60,000",21,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.99,202001,20,"69,800",18,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,22,"67,900",5,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.95,202001,29,"65,000",2,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,30,"69,000",15,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.68,202001,30,"57,800",5,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,30,"70,000",10,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.92,202001,31,"71,500",14,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,59.99,202001,31,"63,000",7,2011,삼양로27길 95,, ,-,-
서울특별시 강북구 미아동,811,811,0,두산위브트레지움,84.97,202001,31,"69,000",7,2011,삼양로27길 80,, ,-,-
서울특별시 강북구 미아동,8-318,8,318,두예파크빌,32.94,202001,18,"22,000",4,2005,월계로21나길 27,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,13,"58,900",4,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,17,"58,000",4,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,17,"56,800",2,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,114.98,202001,18,"83,000",17,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,114.98,202001,18,"84,000",4,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,20,"57,900",3,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,84.97,202001,21,"75,000",5,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,22,"64,500",5,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,84.97,202001,29,"74,800",17,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,813,813,0,래미안트리베라1단지,59.6,202001,31,"59,500",5,2010,삼양로19길 25,, ,-,-
서울특별시 강북구 미아동,797,797,0,미아1차래미안,59.9,202001,18,"49,500",1,2006,삼양로 256,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,84.93,202001,8,"77,000",6,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,59.96,202001,8,"65,000",14,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,59.96,202001,9,"63,000",9,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,84.93,202001,10,"77,700",5,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,474,474,0,미아동부센트레빌,84.92,202001,23,"72,800",2,2006,숭인로7가길 37,, ,-,-
서울특별시 강북구 미아동,1352,1352,0,미아신구,84.9,202001,6,"36,000",12,2000,오패산로60길 17-7,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,202001,1,"54,500",11,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,2,"36,000",8,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,2,"45,800",10,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,4,"47,800",5,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,6,"48,500",4,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,8,"48,000",13,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,8,"47,700",6,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,9,"39,800",2,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,10,"37,800",9,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,11,"39,000",4,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,11,"41,000",10,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,13,"41,600",10,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,13,"37,700",12,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,14,"48,000",17,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,16,"37,000",14,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,202001,16,"53,000",6,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,202001,17,"54,000",19,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,17,"49,000",12,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,17,"37,000",7,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,18,"40,000",8,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,18,"41,800",7,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,18,"49,000",6,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,20,"38,500",23,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,202001,20,"52,800",8,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,20,"38,300",10,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,21,"41,000",16,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,21,"41,900",11,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,60,202001,22,"41,000",5,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,114.68,202001,27,"53,000",8,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,28,"38,000",17,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,29,"36,000",1,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,31,"50,500",16,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,59.67,202001,31,"38,000",16,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1354,1354,0,벽산라이브파크,84.89,202001,31,"49,500",13,2004,솔샘로 159,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,3,"52,900",2,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,59.758,202001,7,"47,000",15,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,202001,7,"62,500",9,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,202001,9,"56,300",1,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,202001,10,"59,500",7,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,13,"53,500",8,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,16,"54,000",11,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,202001,18,"64,000",4,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,19,"52,500",8,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,20,"52,000",3,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,114.88,202001,21,"62,000",6,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,21,"54,000",7,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,21,"51,700",4,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,23,"55,500",21,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,30,"52,200",10,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,31,"51,900",2,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,1357,1357,0,삼각산아이원,84.705,202001,31,"53,000",9,2003,삼양로19길 113,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.38,202001,1,"56,000",2,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.15,202001,3,"74,500",4,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.38,202001,3,"59,000",3,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.15,202001,10,"75,800",9,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,11,"56,900",1,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,84.15,202001,11,"79,900",12,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.38,202001,14,"63,400",23,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,15,"59,700",8,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,58.99,202001,18,"64,000",21,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,18,"55,000",1,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,18,"61,300",7,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,28,"61,500",3,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.38,202001,29,"60,000",10,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202001,31,"56,800",1,2010,삼양로27길 19,, ,-,-
서울특별시 강북구 미아동,461,461,0,송천센트레빌,59.818,202001,29,"79,500",14,2010,숭인로 39,, ,-,-
서울특별시 강북구 미아동,137-7,137,7,신대상,50.12,202001,3,"37,000",4,2002,도봉로20길 29,, ,-,-
서울특별시 강북구 미아동,1358,1358,0,신일해피트리,83.72,202001,13,"44,000",7,2006,오패산로60길 22,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,1,"52,850",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,1,"55,000",20,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,1,"52,800",21,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,2,"48,800",1,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,2,"57,500",10,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,3,"45,000",9,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,3,"45,000",16,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,3,"61,500",22,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,3,"51,500",10,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,3,"45,500",14,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,6,"52,500",11,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,6,"58,000",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,7,"50,000",19,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,7,"51,900",9,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,8,"62,000",15,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,8,"44,900",11,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,9,"60,000",6,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,9,"47,000",24,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,9,"63,000",17,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,10,"45,000",19,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,10,"44,800",7,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,10,"62,000",11,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,11,"60,000",15,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,11,"41,750",12,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,11,"45,000",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,11,"54,000",5,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,11,"41,500",1,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.71,202001,11,"56,800",23,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,13,"56,400",21,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.71,202001,13,"53,500",5,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.71,202001,13,"52,750",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,14,"60,000",16,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,15,"55,000",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,15,"45,000",4,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,15,"51,500",25,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,15,"48,900",5,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,15,"47,800",11,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,16,"60,000",15,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,16,"56,000",4,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,16,"52,000",5,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,16,"53,000",12,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,18,"45,000",8,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,18,"48,000",12,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,18,"57,000",9,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,18,"52,000",23,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,18,"55,000",10,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,18,"47,000",25,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,18,"59,500",5,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,20,"46,500",3,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.92,202001,20,"52,000",2,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,20,"56,000",19,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,21,"47,900",9,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,114.85,202001,22,"53,700",1,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,22,"47,000",17,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,23,"46,500",24,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.86,202001,24,"51,000",13,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,84.76,202001,28,"53,000",10,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202001,31,"46,000",3,2004,솔샘로 174,, ,-,-
서울특별시 강북구 미아동,1361,1361,0,이너스내안에,84.96,202001,1,"44,700",6,2013,도봉로76가길 15,, ,-,-
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202001,6,"15,100",15,2014,도봉로 290,, ,-,-
서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,37.4389,202001,20,"26,930",18,2014,도봉로 290,, ,-,-
서울특별시 강북구 번동,191,191,0,기산그린,59.94,202001,3,"28,300",5,2000,월계로37길 137,, ,-,-
서울특별시 강북구 번동,191,191,0,기산그린,84.94,202001,20,"42,500",11,2000,월계로37길 137,, ,-,-
서울특별시 강북구 번동,191,191,0,기산그린,59.94,202001,29,"30,500",11,2000,월계로37길 137,, ,-,-
서울특별시 강북구 번동,657,657,0,동문,134.27,202001,6,"66,800",12,1998,오현로 128,, ,-,-
서울특별시 강북구 번동,656,656,0,번동금호어울림,59.43,202001,4,"36,300",7,1998,오현로31길 85-7,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,84.6,202001,3,"43,000",4,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,59.82,202001,4,"31,800",7,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,59.82,202001,7,"29,900",1,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,84.6,202001,10,"44,000",13,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,84.6,202001,14,"41,000",17,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,136,136,0,번동솔그린,59.82,202001,17,"31,800",13,1999,한천로109길 83,, ,-,-
서울특별시 강북구 번동,133-1,133,1,번동한양아파트,84.67,202001,21,"39,000",9,1992,한천로109길 69,, ,-,-
서울특별시 강북구 번동,470-1,470,1,삼성,59.77,202001,7,"37,800",18,1998,도봉로98길 33,, ,-,-
서울특별시 강북구 번동,470-1,470,1,삼성,84.96,202001,15,"44,200",10,1998,도봉로98길 33,, ,-,-
서울특별시 강북구 번동,761,761,0,센트로힐,72.7695,202001,17,"38,300",11,2015,한천로 936,, ,-,-
서울특별시 강북구 번동,410,410,0,수유역두산위브1,84.9909,202001,11,"54,500",2,2009,덕릉로41길 12,, ,-,-
서울특별시 강북구 번동,410,410,0,수유역두산위브1,84.9986,202001,11,"57,900",7,2009,덕릉로41길 12,, ,-,-
서울특별시 강북구 번동,410,410,0,수유역두산위브1,84.9909,202001,14,"60,000",15,2009,덕릉로41길 12,, ,-,-
서울특별시 강북구 번동,411,411,0,수유역두산위브2,84.9909,202001,20,"58,000",4,2009,덕릉로41길 15,, ,-,-
서울특별시 강북구 번동,204,204,0,신원,59.96,202001,8,"34,000",13,2000,월계로37길 87-9,, ,-,-
서울특별시 강북구 번동,204,204,0,신원,59.96,202001,17,"32,500",18,2000,월계로37길 87-9,, ,-,-
서울특별시 강북구 번동,760,760,0,오동공원현대,84.7848,202001,13,"45,000",6,2001,오현로31길 89,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,41.3,202001,4,"30,350",15,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,41.3,202001,6,"29,900",1,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,49.94,202001,14,"29,000",8,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,49.94,202001,17,"40,300",7,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,49.94,202001,18,"40,000",12,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,41.3,202001,20,"31,000",15,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,49.94,202001,28,"37,900",5,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,41.3,202001,31,"31,000",5,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,242,242,0,주공1단지,41.3,202001,31,"32,800",9,1991,한천로105길 23,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,49.94,202001,4,"34,300",14,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,41.3,202001,4,"26,800",15,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,41.3,202001,13,"24,000",3,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,84.79,202001,16,"49,000",14,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,59.22,202001,23,"39,700",9,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,234,234,0,주공4단지,41.3,202001,30,"29,000",2,1991,오현로 207,, ,-,-
서울특별시 강북구 번동,138,138,0,한솔솔파크,84.88,202001,3,"46,800",2,2005,오현로 180,, ,-,-
